Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
Sri Lanka,lost,Pakistan,won,first,Pakistan,Dhaka,5-Jun-00,Bangladesh,Neutral,Neutral,first,2nd,won,7 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
Sri Lanka,lost,Pakistan,lost,2nd,Pakistan,Dhaka,7-Jun-00,Bangladesh,Neutral,Neutral,2nd,first,lost,39 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,won,2nd,Pakistan,Galle,5-Jul-00,Sri Lanka,Home,Away,2nd,first,won,5 wickets,lost,slow/low/dusty,2ndinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,lost,first,South Africa,Galle,6-Jul-00,Sri Lanka,Home,Away,first,2nd,lost,37 runs,won,slow/low/dusty,1stinningwinner,dry/dusty
South Africa,lost,Sri Lanka,won,2nd,Sri Lanka,Galle,6-Jul-00,Sri Lanka,Away,Home,2nd,first,won,37 runs,lost,slow/low/dusty,1stinningwinner,dry/dusty
Zimbabwe,won,Zimbabwe,lost,2nd,West Indies,Bristol,6-Jul-00,England,Neutral,Neutral,2nd,first,lost,6 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
West Indies,lost,Zimbabwe,won,first,Zimbabwe,Bristol,6-Jul-00,England,Neutral,Neutral,first,2nd,won,6 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
South Africa,won,South Africa,won,first,Pakistan,Colombo (RPS),8-Jul-00,Sri Lanka,Neutral,Neutral,first,2nd,won,18 runs,lost,dry/dusty,1stinningwinner,dry/dusty
Zimbabwe,won,Zimbabwe,lost,2nd,England,The Oval,8-Jul-00,England,Away,Home,2nd,first,lost,5 wickets,won,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,lost,Zimbabwe,won,first,Zimbabwe,The Oval,8-Jul-00,England,Home,Away,first,2nd,won,5 wickets,lost,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,lost,2nd,Pakistan,Colombo (RPS),9-Jul-00,Sri Lanka,Home,Away,2nd,first,lost,6 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,won,2nd,South Africa,Colombo (SSC),11-Jul-00,Sri Lanka,Home,Away,2nd,first,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,dry/dusty
South Africa,lost,Sri Lanka,lost,first,Sri Lanka,Colombo (SSC),11-Jul-00,Sri Lanka,Away,Home,first,2nd,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,dry/dusty
Zimbabwe,won,Zimbabwe,lost,first,West Indies,Canterbury,11-Jul-00,England,Neutral,Neutral,first,2nd,lost,70 runs,won, green/bouncy,1stinningwinner,fast/green/bouncy/swing
West Indies,lost,Zimbabwe,won,2nd,Zimbabwe,Canterbury,11-Jul-00,England,Neutral,Neutral,2nd,first,won,70 runs,lost, green/bouncy,1stinningwinner,fast/green/bouncy/swing
South Africa,won,South Africa,lost,2nd,Pakistan,Colombo (SSC),12-Jul-00,Sri Lanka,Neutral,Neutral,2nd,first,lost,7 wickets,won,slow/low/dusty,2ndinningwinner,dry/dusty
England,won,England,lost,2nd,Zimbabwe,Manchester,13-Jul-00,England,Home,Away,2nd,first,lost,8 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Zimbabwe,lost,England,won,first,England,Manchester,13-Jul-00,England,Away,Home,first,2nd,won,8 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,won,first,South Africa,Colombo (RPS),14-Jul-00,Sri Lanka,Home,Away,first,2nd,won,30 runs,lost,dry/dusty,1stinningwinner,dry/dusty
South Africa,lost,Sri Lanka,lost,2nd,Sri Lanka,Colombo (RPS),14-Jul-00,Sri Lanka,Away,Home,2nd,first,lost,30 runs,won,dry/dusty,1stinningwinner,dry/dusty
England,won,England,won,2nd,West Indies,Chester-le-Street,15-Jul-00,England,Home,Away,2nd,first,won,10 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
West Indies,lost,England,lost,first,England,Chester-le-Street,15-Jul-00,England,Away,Home,first,2nd,lost,10 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Zimbabwe,won,Zimbabwe,lost,2nd,West Indies,Chester-le-Street,16-Jul-00,England,Neutral,Neutral,2nd,first,lost,6 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
West Indies,lost,Zimbabwe,won,first,Zimbabwe,Chester-le-Street,16-Jul-00,England,Neutral,Neutral,first,2nd,won,6 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,won,England,won,first,Zimbabwe,Birmingham,18-Jul-00,England,Home,Away,first,2nd,won,52 runs,lost, fast/green/bouncy,1stinningwinner,fast/green/bouncy/swing
Zimbabwe,lost,England,lost,2nd,England,Birmingham,18-Jul-00,England,Away,Home,2nd,first,lost,52 runs,won, fast/green/bouncy,1stinningwinner,fast/green/bouncy/swing
West Indies,won,West Indies,lost,first,England,Nottingham,20-Jul-00,England,Away,Home,first,2nd,lost,3 runs,won, fast/green/bouncy,1stinningwinner,fast/green/bouncy/swing
England,lost,West Indies,won,2nd,West Indies,Nottingham,20-Jul-00,England,Home,Away,2nd,first,won,3 runs,lost, fast/green/bouncy,1stinningwinner,fast/green/bouncy/swing
England,won,England,won,2nd,Zimbabwe,Lords,22-Jul-00,England,Home,Away,2nd,first,won,6 wickets,lost,green,2ndinningwinner,fast/green/bouncy/swing
Zimbabwe,lost,England,lost,first,England,Lords,22-Jul-00,England,Away,Home,first,2nd,lost,6 wickets,won,green,2ndinningwinner,fast/green/bouncy/swing
Australia,won,Australia,lost,first,South Africa,Melbourne (Docklands),16-Aug-00,Australia,Home,Away,first,2nd,lost,94 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
South Africa,lost,Australia,won,2nd,Australia,Melbourne (Docklands),16-Aug-00,Australia,Away,Home,2nd,first,won,94 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
South Africa,won,South Africa,won,first,Australia,Melbourne (Docklands),20-Aug-00,Australia,Away,Home,first,2nd,won,8 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
Australia,lost,South Africa,lost,2nd,South Africa,Melbourne (Docklands),20-Aug-00,Australia,Home,Away,2nd,first,lost,8 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
New Zealand,lost,Pakistan,won,2nd,Pakistan,Singapore,20-Aug-00,Singapore,Neutral,Neutral,2nd,first,won,12 runs,lost,dry,1stinningwinner,flat/dead
South Africa,lost,Pakistan,lost,2nd,Pakistan,Singapore,23-Aug-00,Singapore,Neutral,Neutral,2nd,first,lost,28 runs,won,dry,1stinningwinner,flat/dead
South Africa,won,South Africa,lost,2nd,New Zealand,Singapore,25-Aug-00,Singapore,Neutral,Neutral,2nd,first,lost,8 wickets,won,dry,2ndinningwinner,flat/dead
New Zealand,lost,South Africa,won,first,South Africa,Singapore,25-Aug-00,Singapore,Neutral,Neutral,first,2nd,won,8 wickets,lost,dry,2ndinningwinner,flat/dead
South Africa,won,South Africa,won,first,Pakistan,Singapore,27-Aug-00,Singapore,Neutral,Neutral,first,2nd,won,93 runs,lost,dry,1stinningwinner,flat/dead
New Zealand,won,New Zealand,won,2nd,Zimbabwe,Harare,27-Sep-00,Zimbabwe,Away,Home,2nd,first,won,7 wickets,lost,slow/low,2ndinningwinner,slow/dusty
