Team1,Team2,Ground,Toss,Bat,Winner
Afghanistan, West Indies,Nagpur,loss,first,Afghanistan
India, Australia,Mohali,loss,2nd,India
South Africa, Sri Lanka,Delhi,win,2nd,South Africa
England, New Zealand,Delhi,win,2nd,England
West Indies, India,Mumbai,win,2nd,West Indies
West Indies, England,Kolkata,win,2nd,West Indies
Zimbabwe, India,Harare,loss,first,Zimbabwe
India, Zimbabwe,Harare,loss,2nd,India
India, Zimbabwe,Harare,loss,first,India
England, Sri Lanka,Southampton,loss,2nd,England
West Indies, India,Lauderhill,loss,first,West Indies
Hong Kong, Ireland,Bready,win,first,Hong Kong
Australia, Sri Lanka,Pallekele,loss,first,Australia
Pakistan, England,Manchester,loss,2nd,Pakistan
Australia, Sri Lanka,Colombo (RPS),loss,2nd,Australia
Pakistan, West Indies,Dubai (DSC),win,2nd,Pakistan
Pakistan, West Indies,Dubai (DSC),loss,first,Pakistan
Pakistan, West Indies,Abu Dhabi,win,2nd,Pakistan
